name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
BD-00 4475 b,139,25.05 Jupiters,9.01,2021
BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
BD-06 1339 b,66,8.5 Earths,9.7,2013
BD-06 1339 c,66,0.17 Jupiters,9.7,2013
BD-08 2823 b,135,12.7132 Earths,9.86,2009
BD-08 2823 c,135,0.33 Jupiters,9.86,2009
BD-10 3166 b,275,0.59 Jupiters,10.013,2000
BD-11 4672 b,89,0.65 Jupiters,10.03,2014
BD-11 4672 c,89,15.37 Earths,10.03,2020
BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
BD+14 4559 b,161,1.04 Jupiters,9.78,2009
BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
BD-17 63 b,112,5.1 Jupiters,9.62,2008
BD-08 2823 b,135,12.7132 Earths,9.86,2009
BD-08 2823 c,135,0.33 Jupiters,9.86,2009
BD-10 3166 b,275,0.59 Jupiters,10.013,2000
BD-11 4672 b,89,0.65 Jupiters,10.03,2014
BD-11 4672 c,89,15.37 Earths,10.03,2020
BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
BD+14 4559 b,161,1.04 Jupiters,9.78,2009
BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
BD-17 63 b,112,5.1 Jupiters,9.62,2008
BD-08 2823 b,135,12.7132 Earths,9.86,2009
BD-08 2823 c,135,0.33 Jupiters,9.86,2009
BD-10 3166 b,275,0.59 Jupiters,10.013,2000
BD-11 4672 b,89,0.65 Jupiters,10.03,2014
BD-11 4672 c,89,15.37 Earths,10.03,2020
BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
BD+14 4559 b,161,1.04 Jupiters,9.78,2009
BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
BD-17 63 b,112,5.1 Jupiters,9.62,2008
BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
BD+20 274 b,4314,4.2 Jupiters,9.367,2012
BD+20 594 b,585,22.2481 Earths,10.849,2016
BD+45 564 b,175,1.36 Jupiters,9.67,2021
BD+48 738 b,2843,0.91 Jupiters,9.139,2011
BD+48 740 b,2174,1.7 Jupiters,8.69,2018
BD+49 828 b,1442,1.6 Jupiters,9.381,2015
BD+55 362 b,171,0.72 Jupiters,9.38,2021
BD+63 1405 b,124,3.96 Jupiters,8.96,2021
BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
BD+20 274 b,4314,4.2 Jupiters,9.367,2012
BD+20 594 b,585,22.2481 Earths,10.849,2016
BD+45 564 b,175,1.36 Jupiters,9.67,2021
BD+48 738 b,2843,0.91 Jupiters,9.139,2011
BD+48 740 b,2174,1.7 Jupiters,8.69,2018
BD+49 828 b,1442,1.6 Jupiters,9.381,2015
BD+55 362 b,171,0.72 Jupiters,9.38,2021
BD+63 1405 b,124,3.96 Jupiters,8.96,2021
BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
BD+20 274 b,4314,4.2 Jupiters,9.367,2012
BD+20 594 b,585,22.2481 Earths,10.849,2016
BD+45 564 b,175,1.36 Jupiters,9.67,2021
BD+48 738 b,2843,0.91 Jupiters,9.139,2011
BD+48 740 b,2174,1.7 Jupiters,8.69,2018
BD+49 828 b,1442,1.6 Jupiters,9.381,2015
BD+55 362 b,171,0.72 Jupiters,9.38,2021
BD+63 1405 b,124,3.96 Jupiters,8.96,2021
CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
CoRoT-20 c,2753,17 Jupiters,14.63,2018
CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
CoRoT-20 c,2753,17 Jupiters,14.63,2018
CoRoT-12 b,3674,0.917 Jupiters,15.588,2010
CoRoT-13 b,3748,1.308 Jupiters,15.005,2010
CoRoT-14 b,5691,7.6 Jupiters,15.932,2010
CoRoT-16 b,2389,0.535 Jupiters,16.052,2011
CoRoT-17 b,3837,2.43 Jupiters,16.29,2011
CoRoT-18 b,2495,3.47 Jupiters,14.868,2011
CoRoT-19 b,2579,1.11 Jupiters,14.135,2011
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-20 b,2753,4.3 Jupiters,14.63,2011
CoRoT-20 c,2753,17 Jupiters,14.63,2018
CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
CoRoT-22 b,2046,12.2 Earths,13.82,2014
CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
CoRoT-24 b,1930,5.7 Earths,15.383,2014
CoRoT-24 c,1930,28 Earths,15.383,2014
CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
CoRoT-22 b,2046,12.2 Earths,13.82,2014
CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
CoRoT-24 b,1930,5.7 Earths,15.383,2014
CoRoT-24 c,1930,28 Earths,15.383,2014
CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
CoRoT-21 b,4563,2.26 Jupiters,16.058,2012
CoRoT-22 b,2046,12.2 Earths,13.82,2014
CoRoT-23 b,3461,2.8 Jupiters,15.675,2011
CoRoT-24 b,1930,5.7 Earths,15.383,2014
CoRoT-24 c,1930,28 Earths,15.383,2014
CoRoT-25 b,3600,0.27 Jupiters,14.79,2013
CoRoT-26 b,3409,0.52 Jupiters,15.861,2013
CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
CoRoT-28 b,2499,0.484 Jupiters,13.783,2015
CoRoT-29 b,2631,0.85 Jupiters,15.408,2015
CoRoT-2 b,696,3.47 Jupiters,12.516,2008
CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
CoRoT-7 b,522,4.07661 Earths,11.728,2009
CoRoT-7 c,522,8.4 Earths,11.728,2009
CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
CoRoT-2 b,696,3.47 Jupiters,12.516,2008
CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
CoRoT-7 b,522,4.07661 Earths,11.728,2009
CoRoT-7 c,522,8.4 Earths,11.728,2009
CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
CoRoT-2 b,696,3.47 Jupiters,12.516,2008
CoRoT-30 b,3367,2.9 Jupiters,15.571,2020
CoRoT-31 b,6543,0.84 Jupiters,15.479,2020
CoRoT-3 b,2508,21.66 Jupiters,13.448,2008
CoRoT-4 b,2370,0.72 Jupiters,13.652,2008
CoRoT-5 b,2879,0.467 Jupiters,14.043,2009
CoRoT-6 b,2105,2.96 Jupiters,13.961,2009
CoRoT-7 b,522,4.07661 Earths,11.728,2009
CoRoT-7 c,522,8.4 Earths,11.728,2009
CoRoT-8 b,1050,0.22 Jupiters,14.792,2010
CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
CT Chamaleontis b,622,17 Jupiters,12.335,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
DH Tauri b,440,11 Jupiters,13.98,2004
DMPP-1 b,204,24.27 Earths,7.98,2019
DMPP-1 c,204,9.6 Earths,7.98,2019
DMPP-1 d,204,3.35 Earths,7.98,2019
DMPP-1 e,204,4.13 Earths,7.98,2019
CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
CT Chamaleontis b,622,17 Jupiters,12.335,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
DH Tauri b,440,11 Jupiters,13.98,2004
DMPP-1 b,204,24.27 Earths,7.98,2019
DMPP-1 c,204,9.6 Earths,7.98,2019
DMPP-1 d,204,3.35 Earths,7.98,2019
DMPP-1 e,204,4.13 Earths,7.98,2019
CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
CT Chamaleontis b,622,17 Jupiters,12.335,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
DH Tauri b,440,11 Jupiters,13.98,2004
DMPP-1 b,204,24.27 Earths,7.98,2019
DMPP-1 c,204,9.6 Earths,7.98,2019
DMPP-1 d,204,3.35 Earths,7.98,2019
DMPP-1 e,204,4.13 Earths,7.98,2019
CoRoT-9 b,1347,0.84 Jupiters,13.637,2009
CoRoTID 223977153 b,1881,0.15 Jupiters,13.626,2017
CT Chamaleontis b,622,17 Jupiters,12.335,2007
DE Canun Venaticorum b,100,12.0293 Jupiters,12.956,2018
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.5577,2013
DH Tauri b,440,11 Jupiters,13.98,2004
DMPP-1 b,204,24.27 Earths,7.98,2019
DMPP-1 c,204,9.6 Earths,7.98,2019
DMPP-1 d,204,3.35 Earths,7.98,2019
DMPP-1 e,204,4.13 Earths,7.98,2019
DMPP-2 b,450,0.437 Jupiters,8.57,2019
DMPP-3 A b,148,2.58 Earths,9.066,2019
DP Leonis b,997,6.28 Jupiters,18.6837,2009
DS Tucanae A b,144,1.3 Jupiters,8.17,2019
EPIC 201170410.02,437,1.15 Earths,17.6984,2020
EPIC 201238110 b,520,4.16 Earths,16.014,2019
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
DMPP-2 b,450,0.437 Jupiters,8.57,2019
DMPP-3 A b,148,2.58 Earths,9.066,2019
DP Leonis b,997,6.28 Jupiters,18.6837,2009
DS Tucanae A b,144,1.3 Jupiters,8.17,2019
EPIC 201170410.02,437,1.15 Earths,17.6984,2020
EPIC 201238110 b,520,4.16 Earths,16.014,2019
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
DMPP-2 b,450,0.437 Jupiters,8.57,2019
DMPP-3 A b,148,2.58 Earths,9.066,2019
DP Leonis b,997,6.28 Jupiters,18.6837,2009
DS Tucanae A b,144,1.3 Jupiters,8.17,2019
EPIC 201170410.02,437,1.15 Earths,17.6984,2020
EPIC 201238110 b,520,4.16 Earths,16.014,2019
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
DMPP-2 b,450,0.437 Jupiters,8.57,2019
DMPP-3 A b,148,2.58 Earths,9.066,2019
DP Leonis b,997,6.28 Jupiters,18.6837,2009
DS Tucanae A b,144,1.3 Jupiters,8.17,2019
EPIC 201170410.02,437,1.15 Earths,17.6984,2020
EPIC 201238110 b,520,4.16 Earths,16.014,2019
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
DMPP-2 b,450,0.437 Jupiters,8.57,2019
DMPP-3 A b,148,2.58 Earths,9.066,2019
DP Leonis b,997,6.28 Jupiters,18.6837,2009
DS Tucanae A b,144,1.3 Jupiters,8.17,2019
EPIC 201170410.02,437,1.15 Earths,17.6984,2020
EPIC 201238110 b,520,4.16 Earths,16.014,2019
EPIC 201497682 b,825,0.26 Earths,13.948,2019
EPIC 201615463 c,1556,1.98 Earths,12.081,2019
EPIC 201754305 d,1093,1.08 Earths,14.668,2019
EPIC 201757695.02,1884,0.688 Earths,14.974,2020
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342 b,1207,3.53 Earths,13.096,2019
EPIC 206032309 b,526,1.01 Earths,17.89,2019
EPIC 206042996 b,1474,3.26 Earths,16.59,2019
EPIC 206215704 b,358,0.666 Earths,17.83,2019
EPIC 206317286 b,1025,0.84 Earths,14.005,2019
EPIC 211822797 b,607,4.58 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 201833600 c,840,0.972 Earths,14.705,2019
EPIC 201841433 b,1424,1.12 Earths,14.983,2019
EPIC 205950854 c,796,2.27 Earths,12.365,2019
EPIC 206024342 b,1207,3.53 Earths,13.096,2019
EPIC 206032309 b,526,1.01 Earths,17.89,2019
EPIC 206042996 b,1474,3.26 Earths,16.59,2019
EPIC 206215704 b,358,0.666 Earths,17.83,2019
EPIC 206317286 b,1025,0.84 Earths,14.005,2019
EPIC 211822797 b,607,4.58 Earths,15.133,2016
EPIC 211945201 b,593,27 Earths,10.154,2018
EPIC 212297394 b,1365,2.31 Earths,14.611,2019
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,1.46 Earths,12.488,2019
EPIC 212737443 b,1097,7.2 Earths,14.81,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 c,798,5.8 Earths,12.101,2016
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 212297394 b,1365,2.31 Earths,14.611,2019
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,1.46 Earths,12.488,2019
EPIC 212737443 b,1097,7.2 Earths,14.81,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 c,798,5.8 Earths,12.101,2016
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 212297394 b,1365,2.31 Earths,14.611,2019
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,1.46 Earths,12.488,2019
EPIC 212737443 b,1097,7.2 Earths,14.81,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 c,798,5.8 Earths,12.101,2016
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 212297394 b,1365,2.31 Earths,14.611,2019
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,1.46 Earths,12.488,2019
EPIC 212737443 b,1097,7.2 Earths,14.81,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 c,798,5.8 Earths,12.101,2016
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 212297394 b,1365,2.31 Earths,14.611,2019
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,1.46 Earths,12.488,2019
EPIC 212737443 b,1097,7.2 Earths,14.81,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 c,798,5.8 Earths,12.101,2016
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 212297394 b,1365,2.31 Earths,14.611,2019
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,1.46 Earths,12.488,2019
EPIC 212737443 b,1097,7.2 Earths,14.81,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 c,798,5.8 Earths,12.101,2016
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 212297394 b,1365,2.31 Earths,14.611,2019
EPIC 212424622 b,1996,5.35 Earths,13.441,2019
EPIC 212499991 b,924,3.19 Earths,13.672,2019
EPIC 212587672 b,1044,1.46 Earths,12.488,2019
EPIC 212737443 b,1097,7.2 Earths,14.81,2019
EPIC 212737443 c,1097,7.7 Earths,14.81,2019
EPIC 220554210 c,1619,2.79 Earths,14.21,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 c,798,5.8 Earths,12.101,2016
EPIC 246851721 b,1216,3 Jupiters,11.237,2018
EPIC 248847494 b,1800,13 Jupiters,12.353,2018
EPIC 249893012 b,1048,8.75 Earths,11.429,2020
EPIC 249893012 c,1048,14.67 Earths,11.429,2020
EPIC 249893012 d,1048,10.18 Earths,11.429,2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.12577,2012
Epsilon Eridani b,10,0.78 Jupiters,3.71548,2000
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
FU Tauri b,435,16 Jupiters,15.2412,2008
G 264-012 b,52,2.5 Earths,13.078,2021
GJ 1132 c,41,2.64 Earths,13.68,2018
GJ 1148 b,36,0.30425 Jupiters,11.939,2010
GJ 1148 c,36,0.21414 Jupiters,11.939,2017
GJ 1151 b,26,2.5 Earths,13.76,2021
GJ 1214 b,48,6.26125 Earths,15.1,2009
GJ 1252 b,66,2.09 Earths,12.68,2020
GJ 1265 b,33,7.4 Earths,14.01,2018
GJ 143 b,53,22.7 Earths,8.08,2019
GJ 15 A b,12,3.03 Earths,8.09,2014
GJ 15 A c,12,36 Earths,8.09,2018
G 264-012 c,52,3.75 Earths,13.078,2021
G 9-40 b,91,4.76 Earths,13.821,2019
Gamma 1 Leonis b,130,8.78 Jupiters,1.99509,2009
Gamma Cephei b,46,1.85 Jupiters,3.23006,2003
Gamma Librae b,155,1.02 Jupiters,3.90672,2018
Gamma Librae c,155,4.58 Jupiters,3.90672,2018
GJ 1061 b,12,1.37 Earths,12.7,2020
GJ 1061 c,12,1.74 Earths,12.7,2020
GJ 1061 d,12,1.64 Earths,12.7,2020
GJ 1132 b,41,1.66 Earths,13.68,2015
GJ 229 b,19,8.478 Earths,8.15,2014
GJ 251 b,18,4 Earths,9.89,2020
GJ 27.1 b,77,13 Earths,11.45,2014
GJ 273 b,19,2.89 Earths,9.84,2017
GJ 273 c,19,1.18 Earths,9.84,2017
GJ 3021 b,57,3.37 Jupiters,6.59,2000
GJ 3082 b,54,8.2 Earths,11.041,2020
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 c,93,4.18 Earths,10.8275,2017
GJ 3138 d,93,10.5 Earths,10.8275,2017
GJ 160.2 b,84,10.2 Earths,9.7,2014
GJ 163 b,49,10.6 Earths,11.79,2013
GJ 163 c,49,6.8 Earths,11.79,2013
GJ 163 d,49,29.4 Earths,11.79,2013
GJ 179 b,40,0.82 Jupiters,11.963,2009
GJ 180 b,39,6.49 Earths,10.914,2014
GJ 180 c,39,6.4 Earths,10.914,2014
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 2056 b,93,16.2 Earths,10.37,2020
GJ 229 A c,19,7.268 Earths,8.15,2020
GJ 317 b,50,2.5 Jupiters,12.4,2007
GJ 317 c,50,1.64396 Jupiters,12.4,2018
GJ 328 b,67,2.3 Jupiters,9.99,2013
GJ 3293 b,66,23.54 Earths,11.945,2015
GJ 3293 c,66,21.09 Earths,11.945,2015
GJ 3293 d,66,7.6 Earths,11.945,2017
GJ 3293 e,66,3.28 Earths,11.945,2017
GJ 3323 b,18,2.02 Earths,12.57,2017
GJ 3323 c,18,2.31 Earths,12.57,2017
GJ 3341 b,77,6.6 Earths,12.062,2015
